ObstacleID, Description    , Elevation at top of Obstacle (m), Easting NZTM, Northing NZTM, Latitude        , Longitude        , Date Surveyed, Source    , Surveyor
NZRO20220 , TREE           ,                           309.95,   1891703.55,    5779036.35, 38 05 21.93837 S, 176 19 33.80942 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20221 , TREE           ,                           309.66,   1891677.15,    5779039.35, 38 05 21.87185 S, 176 19 32.72303 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20222 , TREE           ,                           309.48,   1891707.45,    5779022.85, 38 05 22.37112 S, 176 19 33.98910 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20223 , TREE           ,                           310.51,   1891712.85,    5779096.05, 38 05 19.99381 S, 176 19 34.10285 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20224 , TREE           ,                           310.17,   1891699.35,    5779086.45, 38 05 20.32045 S, 176 19 33.56368 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20225 , TREE           ,                           310.4 ,   1891699.95,    5779089.75, 38 05 20.21286 S, 176 19 33.58342 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20226 , TREE           ,                           310.35,   1891678.05,    5779102.95, 38 05 19.81073 S, 176 19 32.66648 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20227 , TREE           ,                           310.42,   1891680.45,    5779106.55, 38 05 19.69133 S, 176 19 32.75955 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20228 , TREE           ,                           310.58,   1891704.15,    5779081.05, 38 05 20.48978 S, 176 19 33.76833 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20229 , TREE           ,                           311.19,   1891677.45,    5779096.65, 38 05 20.01549 S, 176 19 32.65114 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20230 , TREE           ,                           310.81,   1891693.35,    5779084.95, 38 05 20.37600 S, 176 19 33.31998 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20231 , TREE           ,                           310.64,   1891703.55,    5779101.15, 38 05 19.83942 S, 176 19 33.71421 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20232 , TREE           ,                           310.96,   1891700.85,    5779099.65, 38 05 19.89114 S, 176 19 33.60576 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20233 , TREE           ,                           310.77,   1891690.05,    5779098.15, 38 05 19.95227 S, 176 19 33.16534 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20234 , TREE           ,                           311.16,   1891691.55,    5779102.65, 38 05 19.80477 S, 176 19 33.22020 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20235 , TREE           ,                           310.97,   1891698.45,    5779102.65, 38 05 19.79676 S, 176 19 33.50299 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20236 , TREE           ,                           311.03,   1891717.05,    5779114.65, 38 05 19.38646 S, 176 19 34.24765 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20237 , TREE           ,                           311.35,   1891697.85,    5779111.05, 38 05 19.52537 S, 176 19 33.46606 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20238 , TREE           ,                           311.01,   1891682.55,    5779103.85, 38 05 19.77635 S, 176 19 32.84958 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20239 , TREE           ,                           311.17,   1891698.15,    5779106.55, 38 05 19.67078 S, 176 19 33.48496 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20240 , TREE           ,                           310.86,   1891705.65,    5779115.25, 38 05 19.38027 S, 176 19 33.77956 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20241 , TREE           ,                           311.23,   1891702.95,    5779131.15, 38 05 18.86838 S, 176 19 33.64554 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20242 , TREE           ,                           311.03,   1891687.95,    5779111.35, 38 05 19.52714 S, 176 19 33.05988 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20243 , TREE           ,                           310.98,   1891681.65,    5779132.65, 38 05 18.84453 S, 176 19 32.77039 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20244 , TREE           ,                           311.32,   1891693.65,    5779120.65, 38 05 19.21929 S, 176 19 33.27982 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20245 , TREE           ,                           311.09,   1891693.95,    5779137.15, 38 05 18.68449 S, 176 19 33.26787 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20246 , TREE           ,                           311.39,   1891693.65,    5779117.35, 38 05 19.32618 S, 176 19 33.28467 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20247 , TREE           ,                           311.63,   1891695.15,    5779115.25, 38 05 19.39246 S, 176 19 33.34923 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20248 , TREE           ,                           312.46,   1891695.15,    5779108.35, 38 05 19.61596 S, 176 19 33.35937 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20249 , TREE           ,                           311.14,   1891698.45,    5779136.85, 38 05 18.68898 S, 176 19 33.45274 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20250 , TREE           ,                           311.16,   1891713.75,    5779127.25, 38 05 18.98217 S, 176 19 34.09389 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20251 , TREE           ,                           311.33,   1891696.95,    5779134.75, 38 05 18.75874 S, 176 19 33.39435 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20252 , TREE           ,                           311.78,   1891716.45,    5779107.15, 38 05 19.63009 S, 176 19 34.23408 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20253 , TREE           ,                           311.19,   1891686.15,    5779127.85, 38 05 18.99478 S, 176 19 32.96186 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20254 , TREE           ,                           310.85,   1891714.35,    5779103.25, 38 05 19.75886 S, 176 19 34.15375 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20255 , TREE           ,                           312.19,   1891712.85,    5779106.25, 38 05 19.66342 S, 176 19 34.08786 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20256 , TREE           ,                           311.19,   1891714.65,    5779123.65, 38 05 19.09773 S, 176 19 34.13607 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20257 , TREE           ,                           311.42,   1891717.65,    5779121.25, 38 05 19.17198 S, 176 19 34.26255 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20258 , TREE           ,                           311.34,   1891707.15,    5779105.35, 38 05 19.69920 S, 176 19 33.85558 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20259 , TREE           ,                           310.84,   1891710.15,    5779105.05, 38 05 19.70543 S, 176 19 33.97897 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20260 , TREE           ,                           311.45,   1891691.25,    5779139.85, 38 05 18.60016 S, 176 19 33.15325 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20261 , TREE           ,                           311.42,   1891696.65,    5779126.05, 38 05 19.04089 S, 176 19 33.39484 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20262 , TREE           ,                           311.59,   1891700.55,    5779120.05, 38 05 19.23071 S, 176 19 33.56349 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20263 , TREE           ,                           311.8 ,   1891703.55,    5779136.25, 38 05 18.70249 S, 176 19 33.66264 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20264 , TREE           ,                           311.39,   1891702.35,    5779133.85, 38 05 18.78162 S, 176 19 33.61698 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20265 , TREE           ,                           311.26,   1891694.55,    5779134.15, 38 05 18.78096 S, 176 19 33.29687 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20266 , TREE           ,                           311.39,   1891702.35,    5779152.45, 38 05 18.17915 S, 176 19 33.58965 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20267 , TREE           ,                           311.35,   1891699.35,    5779151.85, 38 05 18.20207 S, 176 19 33.46759 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20268 , TREE           ,                           310.95,   1891702.65,    5779115.25, 38 05 19.38375 S, 176 19 33.65661 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20269 , TREE           ,                           311.43,   1891693.95,    5779130.85, 38 05 18.88855 S, 176 19 33.27713 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20270 , TREE           ,                           311.6 ,   1891693.05,    5779128.45, 38 05 18.96733 S, 176 19 33.24377 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20271 , TREE           ,                           311.4 ,   1891698.15,    5779128.75, 38 05 18.95169 S, 176 19 33.45235 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20272 , TREE           ,                           311.62,   1891700.25,    5779127.55, 38 05 18.98813 S, 176 19 33.54017 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20273 , TREE           ,                           311.68,   1891724.55,    5779117.35, 38 05 19.29030 S, 176 19 34.55106 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20274 , TREE           ,                           312.39,   1891741.35,    5779184.55, 38 05 17.09410 S, 176 19 35.14084 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20275 , TREE           ,                           311.85,   1891711.65,    5779170.15, 38 05 17.59502 S, 176 19 33.94480 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20276 , TREE           ,                           311.96,   1891704.45,    5779108.95, 38 05 19.58572 S, 176 19 33.73963 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20277 , TREE           ,                           311.13,   1891686.75,    5779144.95, 38 05 18.44019 S, 176 19 32.96133 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20278 , TREE           ,                           312.25,   1891706.55,    5779152.45, 38 05 18.17427 S, 176 19 33.76179 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20279 , TREE           ,                           311.17,   1891724.85,    5779107.15, 38 05 19.62034 S, 176 19 34.57835 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20280 , TREE           ,                           312.56,   1891727.55,    5779195.95, 38 05 16.74087 S, 176 19 34.55852 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20281 , TREE           ,                           312.98,   1891742.25,    5779198.95, 38 05 16.62662 S, 176 19 35.15657 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20282 , TREE           ,                           313.46,   1891739.55,    5779197.75, 38 05 16.66863 S, 176 19 35.04768 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20283 , TREE           ,                           312.75,   1891753.35,    5779189.05, 38 05 16.93440 S, 176 19 35.62603 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20284 , TREE           ,                           312.77,   1891764.45,    5779189.05, 38 05 16.92151 S, 176 19 36.08094 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20285 , TREE           ,                           313.12,   1891760.55,    5779209.15, 38 05 16.27498 S, 176 19 35.89157 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20286 , TREE           ,                           312.99,   1891759.95,    5779183.95, 38 05 17.09193 S, 176 19 35.90401 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20287 , TREE           ,                           313.33,   1891776.45,    5779184.25, 38 05 17.06305 S, 176 19 36.57980 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20288 , TREE           ,                           313.13,   1891772.85,    5779199.85, 38 05 16.56193 S, 176 19 36.40933 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20289 , TREE           ,                           313.75,   1891768.95,    5779233.75, 38 05 15.46840 S, 176 19 36.19968 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20290 , TREE           ,                           313.25,   1891746.45,    5779209.45, 38 05 16.28164 S, 176 19 35.31327 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20291 , TREE           ,                           313.13,   1891778.85,    5779204.65, 38 05 16.39948 S, 176 19 36.64818 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20292 , TREE           ,                           313.4 ,   1891761.45,    5779221.75, 38 05 15.86581 S, 176 19 35.90994 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20293 , TREE           ,                           313.32,   1891748.85,    5779208.55, 38 05 16.30800 S, 176 19 35.41295 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20294 , TREE           ,                           313.11,   1891770.15,    5779206.75, 38 05 16.34157 S, 176 19 36.28854 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20295 , TREE           ,                           314.19,   1891792.05,    5779207.35, 38 05 16.29670 S, 176 19 37.18519 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20296 , TREE           ,                           314.03,   1891753.35,    5779209.15, 38 05 16.28334 S, 176 19 35.59649 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20297 , TREE           ,                           313.21,   1891772.25,    5779210.05, 38 05 16.23224 S, 176 19 36.36975 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20298 , TREE           ,                           313.42,   1891748.55,    5779194.15, 38 05 16.77478 S, 176 19 35.42182 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20299 , TREE           ,                           313.51,   1891771.05,    5779222.95, 38 05 15.81579 S, 176 19 36.30162 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20300 , TREE           ,                           313.33,   1891780.05,    5779201.95, 38 05 16.48555 S, 176 19 36.70133 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20301 , TREE           ,                           313.99,   1891744.95,    5779223.85, 38 05 15.81695 S, 176 19 35.23063 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20302 , TREE           ,                           313.63,   1891768.95,    5779214.55, 38 05 16.09031 S, 176 19 36.22790 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20303 , TREE           ,                           313.6 ,   1891749.45,    5779200.75, 38 05 16.55996 S, 176 19 35.44900 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20304 , TREE           ,                           314.01,   1891744.05,    5779242.75, 38 05 15.20580 S, 176 19 35.16598 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20305 , TREE           ,                           313.65,   1891735.95,    5779190.55, 38 05 16.90602 S, 176 19 34.91072 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20306 , TREE           ,                           313.52,   1891766.85,    5779211.25, 38 05 16.19964 S, 176 19 36.14668 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20307 , TREE           ,                           313.75,   1891754.55,    5779204.95, 38 05 16.41799 S, 176 19 35.65184 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20308 , TREE           ,                           314.23,   1891745.85,    5779203.15, 38 05 16.48640 S, 176 19 35.29794 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20309 , TREE           ,                           313.96,   1891785.75,    5779205.55, 38 05 16.36232 S, 176 19 36.92964 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20310 , TREE           ,                           313.81,   1891753.95,    5779233.45, 38 05 15.49554 S, 176 19 35.58537 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20311 , TREE           ,                           313.6 ,   1891789.05,    5779220.85, 38 05 15.86290 S, 176 19 37.04240 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20312 , TREE           ,                           313.99,   1891784.25,    5779198.35, 38 05 16.59728 S, 176 19 36.87875 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20313 , TREE           ,                           313.81,   1891776.45,    5779237.35, 38 05 15.34308 S, 176 19 36.50176 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20314 , TREE           ,                           313.96,   1891786.65,    5779227.45, 38 05 15.65191 S, 176 19 36.93434 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20315 , TREE           ,                           313.8 ,   1891762.95,    5779244.25, 38 05 15.13526 S, 176 19 35.93835 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20316 , TREE           ,                           313.96,   1891767.75,    5779237.95, 38 05 15.33375 S, 176 19 36.14433 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20317 , TREE           ,                           313.91,   1891791.45,    5779219.05, 38 05 15.91842 S, 176 19 37.14340 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20318 , TREE           ,                           314   ,   1891761.75,    5779228.65, 38 05 15.64196 S, 176 19 35.91210 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20319 , TREE           ,                           314.42,   1891769.85,    5779245.75, 38 05 15.07866 S, 176 19 36.21893 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20320 , TREE           ,                           314.01,   1891796.25,    5779222.95, 38 05 15.78652 S, 176 19 37.33439 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20321 , TREE           ,                           314.71,   1891798.35,    5779262.55, 38 05 14.50139 S, 176 19 37.36226 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20322 , TREE           ,                           314.59,   1891805.25,    5779240.35, 38 05 15.21246 S, 176 19 37.67766 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20323 , TREE           ,                           315.16,   1891777.95,    5779285.05, 38 05 13.79628 S, 176 19 36.49314 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20324 , TREE           ,                           316.02,   1891808.55,    5779316.55, 38 05 12.74042 S, 176 19 37.70092 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20325 , TREE           ,                           313.56,   1891765.65,    5779223.85, 38 05 15.79291 S, 176 19 36.07898 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20326 , TREE           ,                           314.78,   1891790.55,    5779255.65, 38 05 14.73395 S, 176 19 37.05273 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20327 , TREE           ,                           315.95,   1891797.45,    5779333.65, 38 05 12.19942 S, 176 19 37.22088 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20328 , TREE           ,                           315.82,   1891807.65,    5779330.95, 38 05 12.27503 S, 176 19 37.64287 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20329 , TREE           ,                           316.59,   1891803.45,    5779368.15, 38 05 11.07496 S, 176 19 37.41607 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20330 , TREE           ,                           316.49,   1891823.25,    5779344.45, 38 05 11.81963 S, 176 19 38.26236 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20331 , TREE           ,                           316.73,   1891817.85,    5779343.25, 38 05 11.86477 S, 176 19 38.04281 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20332 , TREE           ,                           316.58,   1891788.45,    5779369.05, 38 05 11.06323 S, 176 19 36.80001 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20333 , TREE           ,                           301.31,   1891784.38,    5779635.38, 38 05 02.44122 S, 176 19 36.24186 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20334 , TREE           ,                           303.94,   1891880.13,    5779625.43, 38 05 02.65219 S, 176 19 40.18058 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20335 , TREE           ,                           309.66,   1891885.68,    5779685.15, 38 05 00.71145 S, 176 19 40.32008 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20336 , TREE           ,                           312.52,   1891756.59,    5779569.56, 38 05 04.60565 S, 176 19 35.19959 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20337 , TREE           ,                           311.17,   1891720.17,    5779620.82, 38 05 02.98740 S, 176 19 33.63185 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20338 , TREE           ,                           316.93,   1891848.25,    5779458.77, 38 05 08.08764 S, 176 19 39.11889 E, 18/10/2023   , LiDAR-2023, Interpine
NZRO20339 , TREE           ,                           298   ,   1890062.56,    5776210.95, 38 06 55.35813 S, 176 18 30.68487 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20340 , TREE           ,                           292.38,   1890162.7 ,    5776170.42, 38 06 56.55529 S, 176 18 34.85006 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20341 , TREE           ,                           299.29,   1890103.41,    5776131.42, 38 06 57.88685 S, 176 18 32.47597 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20342 , TREE           ,                           292.36,   1890123.06,    5776146.92, 38 06 57.36219 S, 176 18 33.25919 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20343 , TREE           ,                           294.14,   1890063.99,    5776100.64, 38 06 58.92959 S, 176 18 30.90509 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20344 , TREE           ,                           292.57,   1890093.71,    5776073.28, 38 06 59.78151 S, 176 18 32.16339 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20345 , TREE           ,                           297.76,   1890030.45,    5776062.5 , 38 07 00.20368 S, 176 18 29.58550 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20346 , TREE           ,                           292.35,   1889987.84,    5776037.21, 38 07 01.07203 S, 176 18 27.87572 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20347 , TREE           ,                           291.55,   1889973.63,    5776043.61, 38 07 00.88129 S, 176 18 27.28338 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20348 , TREE           ,                           294.64,   1890018.85,    5775960.69, 38 07 03.51484 S, 176 18 29.25879 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20349 , TREE           ,                           292.57,   1889988.32,    5775999.25, 38 07 02.30120 S, 176 18 27.95076 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20350 , TREE           ,                           294.61,   1889953.11,    5776021.25, 38 07 01.62920 S, 176 18 26.47508 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20351 , TREE           ,                           289.82,   1890080.68,    5776114.45, 38 06 58.46288 S, 176 18 31.56892 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20352 , TREE           ,                           296.85,   1889906.47,    5775948.52, 38 07 04.03915 S, 176 18 24.66923 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20353 , TREE           ,                           297.09,   1889858.53,    5775928.15, 38 07 04.75413 S, 176 18 22.73331 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20354 , TREE           ,                           293.36,   1890316.01,    5775930.55, 38 07 04.14753 S, 176 18 41.48689 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20355 , TREE           ,                           293.01,   1890318.04,    5775932.92, 38 07 04.06841 S, 176 18 41.56669 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20356 , TREE           ,                           293.93,   1890320.13,    5775935.91, 38 07 03.96934 S, 176 18 41.64793 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20357 , TREE           ,                           292.42,   1890325.13,    5775940.38, 38 07 03.81857 S, 176 18 41.84642 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20358 , TREE           ,                           288.85,   1890330.14,    5775944.77, 38 07 03.67081 S, 176 18 42.04512 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20359 , TREE           ,                           290.29,   1890335.22,    5775949.82, 38 07 03.50119 S, 176 18 42.24617 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20360 , TREE           ,                           294.17,   1890291.77,    5775824.79, 38 07 07.60140 S, 176 18 40.64778 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20361 , TREE           ,                           289   ,   1890256   ,    5775854.68, 38 07 06.67456 S, 176 18 39.13745 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20362 , TREE           ,                           314.96,   1890251   ,    5775335.64, 38 07 23.49297 S, 176 18 39.69257 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20363 , TREE           ,                           306.5 ,   1890261.23,    5775353.95, 38 07 22.88776 S, 176 18 40.08508 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20364 , TREE           ,                           306.6 ,   1890264.2 ,    5775355.44, 38 07 22.83626 S, 176 18 40.20457 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20365 , TREE           ,                           307.65,   1890267.62,    5775358   , 38 07 22.74938 S, 176 18 40.34117 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20366 , TREE           ,                           307.05,   1890271.11,    5775360.12, 38 07 22.67667 S, 176 18 40.48133 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20367 , TREE           ,                           307.69,   1890274.6 ,    5775362.72, 38 07 22.58845 S, 176 18 40.62042 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20368 , TREE           ,                           307.17,   1890277.91,    5775364.73, 38 07 22.51944 S, 176 18 40.75332 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20369 , TREE           ,                           305.08,   1890281.29,    5775366.94, 38 07 22.44395 S, 176 18 40.88864 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20370 , TREE           ,                           304.41,   1890282.33,    5775367.87, 38 07 22.41256 S, 176 18 40.92975 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20371 , TREE           ,                           305.23,   1890286.41,    5775370.21, 38 07 22.33198 S, 176 18 41.09382 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20372 , TREE           ,                           306.17,   1890288.24,    5775371.88, 38 07 22.27599 S, 176 18 41.16634 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20373 , TREE           ,                           305.06,   1890293.86,    5775375.77, 38 07 22.14349 S, 176 18 41.39116 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20374 , TREE           ,                           304.77,   1890297.42,    5775377.6 , 38 07 22.07990 S, 176 18 41.53428 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20375 , TREE           ,                           303.35,   1890301.15,    5775380.16, 38 07 21.99263 S, 176 18 41.68359 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20376 , TREE           ,                           314.06,   1890240.94,    5775336.99, 38 07 23.46060 S, 176 18 39.27779 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20377 , TREE           ,                           306.87,   1890269.13,    5775359.64, 38 07 22.69448 S, 176 18 40.40073 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20378 , TREE           ,                           304.29,   1890307.5 ,    5775384.27, 38 07 21.85219 S, 176 18 41.93770 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20379 , TREE           ,                           303.02,   1890309.42,    5775385.64, 38 07 21.80565 S, 176 18 42.01471 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20380 , TREE           ,                           304.35,   1890320.75,    5775392.89, 38 07 21.55773 S, 176 18 42.46862 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20381 , TREE           ,                           303.72,   1890323.52,    5775394.43, 38 07 21.50474 S, 176 18 42.58007 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20382 , TREE           ,                           303.89,   1890344.8 ,    5775409.06, 38 07 21.00623 S, 176 18 43.43110 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20383 , TREE           ,                           303.87,   1890348.7 ,    5775411.95, 38 07 20.90785 S, 176 18 43.58681 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20384 , TREE           ,                           303.58,   1890351.14,    5775413.56, 38 07 20.85307 S, 176 18 43.68426 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20385 , TREE           ,                           328.64,   1892335.99,    5779106.1 , 38 05 18.94391 S, 176 19 59.62645 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20386 , TREE           ,                           326.45,   1892345.7 ,    5779129.74, 38 05 18.16678 S, 176 19 59.98987 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20387 , TREE           ,                           326.64,   1892325.26,    5779094.87, 38 05 19.32017 S, 176 19 59.20348 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20388 , TREE           ,                           329.96,   1892406.33,    5779147.59, 38 05 17.51810 S, 176 20 02.44839 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20389 , TREE           ,                           330.05,   1892396.17,    5779156.46, 38 05 17.24263 S, 176 20 02.01878 E, 24/09/2024   , LiDAR-2024, blackmaps
